Quelle,HZBNr.,OWSEZG (m ü. A.),AC,PC,Quellgruppe,Quelltyp
Schwarze Torrenquelle,395319,1800,2,2,,verdeckte Karstquelle
Schwarzlackenquelle,395327,1600,2,3,II,verdeckte Karstquelle
Siebenbrunnenquelle,395533,2000,2,3,II,verdeckte Karstquelle
Siebenquellen,396093,1700,1,2,I,Karstquelle
Steinbachquelle,395608,950,1,1,I,Karstquelle
Steyernquelle,395079,1450,1,1,I,Karstquelle
Stubbachquelle,395350,1500,2,4,,Karstquelle
Teufelskirche,395012,1600,1,2,I,Karstquelle
Tiebelquelle,396531,1200,3,4,III,Porengrundwasserquelle
Totes Weib Quelle,396812,,1,1,I,Karstquelle
Trinkwasserstollen Bettelwurf,396226,1600,2,4,,Karstquelle
Union Quelle,395673,1700,3,4,III,Karstquelle
Untere Schmittequelle,396424,1100,2,4,,Porengrundwasserquelle
Ursprungquelle (Lehnberg),395509,1400,2,3,II,verdeckte Karstquelle
Ursulaquelle,395582,850,3,4,III,Karstquelle
Waldbachursprung,395038,1950,2,3,II,Karstquelle
Wasseralmquelle,396077,1600,1,2,I,Karstquelle
Wassermannsloch,395871,1570,1,2,I,Karstquelle
Windener Quelle,396010,,4,4,IV,Karstquelle
